"","n","allee","allee.f","initial.slope","slope.after.thresh"
"293",398,TRUE,"with Allee effect",0.271447340576036,5.06299928988072
"294",399,FALSE,"without Allee effect",1.08939393212507,2.10432391145533
"295",400,TRUE,"with Allee effect",1.00606271991558,2.12047990587321
"296",401,FALSE,"without Allee effect",0.612462485221285,2.15683497211425
"297",402,TRUE,"with Allee effect",0.785515810162775,1.90887373347018
"298",403,FALSE,"without Allee effect",0.485426827170192,1.75267388975995
"299",404,TRUE,"with Allee effect",0.571529213417796,3.81397475500287
"300",405,FALSE,"without Allee effect",1.09320412928124,1.82562887001942
"301",406,TRUE,"with Allee effect",1.00155554054568,1.86214880435227
"302",408,TRUE,"with Allee effect",0.881690885604949,2.74032070219024
"303",409,FALSE,"without Allee effect",0.567040592723906,1.88717966650391
"304",410,TRUE,"with Allee effect",0.622533911021581,3.39317260505283
"305",411,FALSE,"without Allee effect",0.933393038490237,2.19445274522156
"306",412,TRUE,"with Allee effect",0.922408749602919,1.96413793775824
"307",413,FALSE,"without Allee effect",1.16298931683567,2.15746704987634
"308",414,TRUE,"with Allee effect",1.13592290284568,1.96617641487013
"309",416,TRUE,"with Allee effect",0.547986615602932,3.39638087053306
"310",418,TRUE,"with Allee effect",0.853065657297178,3.7347643406328
"311",419,FALSE,"without Allee effect",1.04391463057293,1.73227417503749
"312",420,TRUE,"with Allee effect",0.76510529727349,2.25213742943646
"313",422,TRUE,"with Allee effect",0.497300886544432,5.4508010375033
"314",423,FALSE,"without Allee effect",0.928610793338687,2.19199394456409
"315",424,TRUE,"with Allee effect",0.909209947798585,2.97409140978918
"316",425,FALSE,"without Allee effect",0.777607578663606,1.71221792050803
"317",426,TRUE,"with Allee effect",0.656620744092848,2.13507454762592
"318",428,TRUE,"with Allee effect",0.701070466376273,1.85933923195679
"319",429,FALSE,"without Allee effect",1.09580917860642,2.49644778652909
"320",430,TRUE,"with Allee effect",1.43130817426595,2.37659473323592
"321",431,FALSE,"without Allee effect",1.16195690977047,2.14459588567975
"322",432,TRUE,"with Allee effect",0.737841823499235,2.03565909009583
"323",433,FALSE,"without Allee effect",0.73079207490259,2.08000423591843
"324",434,TRUE,"with Allee effect",0.851302972294883,3.01784450808234
"325",437,FALSE,"without Allee effect",0.898997093702611,1.73641713577346
"326",438,TRUE,"with Allee effect",1.0047709420887,1.98476989822443
"327",440,TRUE,"with Allee effect",1.08082647632013,2.54043009277941
"328",442,TRUE,"with Allee effect",0.880275001312704,2.38717909139435
"329",444,TRUE,"with Allee effect",0.89991388161649,2.72382316577233
"330",445,FALSE,"without Allee effect",1.21198784119341,2.10253702542863
"331",446,TRUE,"with Allee effect",1.1096113195045,2.65665783845589
"332",447,FALSE,"without Allee effect",0.415037499278784,2.13998151296821
"333",448,TRUE,"with Allee effect",0.76335995296265,2.58573234020191
"334",449,FALSE,"without Allee effect",0.786664614446402,2.05010077466166
"335",450,TRUE,"with Allee effect",0.621617134897052,3.01951063381692
"336",451,FALSE,"without Allee effect",1.18312901947724,1.7652708729426
"337",452,TRUE,"with Allee effect",0.184228830130356,3.33519346439068
"338",454,TRUE,"with Allee effect",0.520910612386826,3.13469477781345
"339",455,FALSE,"without Allee effect",0.81112409268567,1.69956183652391
"340",456,TRUE,"with Allee effect",0.743653968110553,1.55038152612792
"341",457,FALSE,"without Allee effect",0.960898943240422,1.78227378504118
